Name
Andy Anomaly
Brenda Bobsleigh
Carl Cracker
Data Douglass
Eve Evergreen
Frosty Freeman
Gabriel Graph
Holly Holder
Ivy Irving
Jack Jingle
Kris Kringle
Lucas Lights
Merry Maxwell
Nick Noel
Olivia Ornament
Patty Pine
Quincy Quota
Rudy Reindeer
Silvia Sankey
Toby Tinsel
Ursula Utility
Vicky Visions
Walter Wrapper
Xander Xmas
Yvonne Yuletide
Zachary Zest
Angelica Algorithm
Benny Bells
Candy Cane
Donny Data
Elsa Excel
Frankie Fir
Gloria Garland
Henry Holly
Iris Icicle
Jerry Jolly
Kim Kringle
Lenny Log
Mindy Mistletoe
Noel Navi
Olive Output
Perry Pinecone
Quinn Query
Ralph Ribbon
Sandy Star
Timmy Table
Uma Update
Vincent Value
Wendy Winter
Xenia X-Axis
Yasmine Yulelog
Zane Zerocookie
